구들: ㄱㅜㄷㅡㄹ
구렁: ㄱㅜㄹㅓㅇ
구령: ㄱㅜㄹㅕㅇ
구름: ㄱㅜㄹㅡㅁ
구매: ㄱㅜㅁㅏㅣ
구멍: ㄱㅜㅁㅓㅇ
구면: ㄱㅜㅁㅕㄴ
구명: ㄱㅜㅁㅕㅇ
구문: ㄱㅜㅁㅜㄴ
구민: ㄱㅜㅁㅣㄴ
구박: ㄱㅜㅂㅏㄱ
구법: ㄱㅜㅂㅓㅂ
구변: ㄱㅜㅂㅕㄴ
구별: ㄱㅜㅂㅕㄹ
구분: ㄱㅜㅂㅜㄴ
구상: ㄱㅜㅅㅏㅇ
구석: ㄱㅜㅅㅓㄱ
구설: ㄱㅜㅅㅓㄹ
구성: ㄱㅜㅅㅓㅇ
구속: ㄱㅜㅅㅗㄱ
구술: ㄱㅜㅅㅜㄹ
구슬: ㄱㅜㅅㅡㄹ
구습: ㄱㅜㅅㅡㅂ
구식: ㄱㅜㅅㅣㄱ
구실: ㄱㅜㅅㅣㄹ
구심: ㄱㅜㅅㅣㅁ
구애: ㄱㅜㅇㅏㅣ
구약: ㄱㅜㅇㅑㄱ
구역: ㄱㅜㅇㅕㄱ
구연: ㄱㅜㅇㅕㄴ
구인: ㄱㅜㅇㅣㄴ
구입: ㄱㅜㅇㅣㅂ
구장: ㄱㅜㅈㅏㅇ
구전: ㄱㅜㅈㅓㄴ
구절: ㄱㅜㅈㅓㄹ
구정: ㄱㅜㅈㅓㅇ
구제: ㄱㅜㅈㅓㅣ
구좌: ㄱㅜㅈㅗㅏ
구직: ㄱㅜㅈㅣㄱ
구질: ㄱㅜㅈㅣㄹ
구천: ㄱㅜㅊㅓㄴ
구청: ㄱㅜㅊㅓㅇ
구축: ㄱㅜㅊㅜㄱ
구출: ㄱㅜㅊㅜㄹ
구취: ㄱㅜㅊㅜㅣ
구태: ㄱㅜㅌㅏㅣ
구현: ㄱㅜㅎㅕㄴ
구형: ㄱㅜㅎㅕㅇ
구혼: ㄱㅜㅎㅗㄴ
국가: ㄱㅜㄱㄱㅏ
국고: ㄱㅜㄱㄱㅗ
국교: ㄱㅜㄱㄱㅛ
국기: ㄱㅜㄱㄱㅣ
국도: ㄱㅜㄱㄷㅗ
국모: ㄱㅜㄱㅁㅗ
국무: ㄱㅜㄱㅁㅜ
국보: ㄱㅜㄱㅂㅗ
국부: ㄱㅜㄱㅂㅜ
국비: ㄱㅜㄱㅂㅣ
국사: ㄱㅜㄱㅅㅏ
국소: ㄱㅜㄱㅅㅗ
국수: ㄱㅜㄱㅅㅜ
국시: ㄱㅜㄱㅅㅣ
국어: ㄱㅜㄱㅇㅓ
국유: ㄱㅜㄱㅇㅠ
국자: ㄱㅜㄱㅈㅏ
국지: ㄱㅜㄱㅈㅣ
국치: ㄱㅜㄱㅊㅣ
국토: ㄱㅜㄱㅌㅗ
국호: ㄱㅜㄱㅎㅗ
군가: ㄱㅜㄴㄱㅏ
군기: ㄱㅜㄴㄱㅣ
군무: ㄱㅜㄴㅁㅜ
군부: ㄱㅜㄴㅂㅜ
군비: ㄱㅜㄴㅂㅣ
군사: ㄱㅜㄴㅅㅏ
군소: ㄱㅜㄴㅅㅗ
군수: ㄱㅜㄴㅅㅜ
군자: ㄱㅜㄴㅈㅏ
군주: ㄱㅜㄴㅈㅜ
굴비: ㄱㅜㄹㅂㅣ
굴지: ㄱㅜㄹㅈㅣ
굽이: ㄱㅜㅂㅇㅣ
궁녀: ㄱㅜㅇㄴㅕ
궁리: ㄱㅜㅇㄹㅣ
궁지: ㄱㅜㅇㅈㅣ
귀가: ㄱㅜㅣㄱㅏ
귀로: ㄱㅜㅣㄹㅗ
귀지: ㄱㅜㅣㅈㅣ
귀추: ㄱㅜㅣㅊㅜ
귀티: ㄱㅜㅣㅌㅣ
귀하: ㄱㅜㅣㅎㅏ
