견공: ㄱㅕㄴㄱㅗㅇ
견과: ㄱㅕㄴㄱㅗㅏ
견문: ㄱㅕㄴㅁㅜㄴ
견본: ㄱㅕㄴㅂㅗㄴ
견습: ㄱㅕㄴㅅㅡㅂ
견식: ㄱㅕㄴㅅㅣㄱ
견인: ㄱㅕㄴㅇㅣㄴ
견장: ㄱㅕㄴㅈㅏㅇ
견적: ㄱㅕㄴㅈㅓㄱ
견제: ㄱㅕㄴㅈㅓㅣ
견학: ㄱㅕㄴㅎㅏㄱ
견해: ㄱㅕㄴㅎㅏㅣ
결강: ㄱㅕㄹㄱㅏㅇ
결격: ㄱㅕㄹㄱㅕㄱ
결과: ㄱㅕㄹㄱㅗㅏ
결국: ㄱㅕㄹㄱㅜㄱ
결근: ㄱㅕㄹㄱㅡㄴ
결단: ㄱㅕㄹㄷㅏㄴ
결렬: ㄱㅕㄹㄹㅕㄹ
결례: ㄱㅕㄹㄹㅕㅣ
결론: ㄱㅕㄹㄹㅗㄴ
결막: ㄱㅕㄹㅁㅏㄱ
결말: ㄱㅕㄹㅁㅏㄹ
결박: ㄱㅕㄹㅂㅏㄱ
결번: ㄱㅕㄹㅂㅓㄴ
결벽: ㄱㅕㄹㅂㅕㄱ
결별: ㄱㅕㄹㅂㅕㄹ
결빙: ㄱㅕㄹㅂㅣㅇ
결산: ㄱㅕㄹㅅㅏㄴ
결석: ㄱㅕㄹㅅㅓㄱ
결선: ㄱㅕㄹㅅㅓㄴ
결성: ㄱㅕㄹㅅㅓㅇ
결속: ㄱㅕㄹㅅㅗㄱ
결손: ㄱㅕㄹㅅㅗㄴ
결승: ㄱㅕㄹㅅㅡㅇ
결실: ㄱㅕㄹㅅㅣㄹ
결심: ㄱㅕㄹㅅㅣㅁ
결연: ㄱㅕㄹㅇㅕㄴ
결의: ㄱㅕㄹㅇㅡㅣ
결장: ㄱㅕㄹㅈㅏㅇ
결재: ㄱㅕㄹㅈㅏㅣ
결전: ㄱㅕㄹㅈㅓㄴ
결점: ㄱㅕㄹㅈㅓㅁ
결정: ㄱㅕㄹㅈㅓㅇ
결제: ㄱㅕㄹㅈㅓㅣ
결집: ㄱㅕㄹㅈㅣㅂ
결탁: ㄱㅕㄹㅌㅏㄱ
결판: ㄱㅕㄹㅍㅏㄴ
결핍: ㄱㅕㄹㅍㅣㅂ
결함: ㄱㅕㄹㅎㅏㅁ
결합: ㄱㅕㄹㅎㅏㅂ
결항: ㄱㅕㄹㅎㅏㅇ
결혼: ㄱㅕㄹㅎㅗㄴ
겸상: ㄱㅕㅁㅅㅏㅇ
겸손: ㄱㅕㅁㅅㅗㄴ
겸양: ㄱㅕㅁㅇㅑㅇ
겸업: ㄱㅕㅁㅇㅓㅂ
겸용: ㄱㅕㅁㅇㅛㅇ
겸임: ㄱㅕㅁㅇㅣㅁ
겸직: ㄱㅕㅁㅈㅣㄱ
겹겹: ㄱㅕㅂㄱㅕㅂ
경각: ㄱㅕㅇㄱㅏㄱ
경감: ㄱㅕㅇㄱㅏㅁ
경계: ㄱㅕㅇㄱㅕㅣ
경과: ㄱㅕㅇㄱㅗㅏ
경내: ㄱㅕㅇㄴㅏㅣ
경단: ㄱㅕㅇㄷㅏㄴ
경대: ㄱㅕㅇㄷㅏㅣ
경락: ㄱㅕㅇㄹㅏㄱ
경력: ㄱㅕㅇㄹㅕㄱ
경련: ㄱㅕㅇㄹㅕㄴ
경례: ㄱㅕㅇㄹㅕㅣ
경륜: ㄱㅕㅇㄹㅠㄴ
경망: ㄱㅕㅇㅁㅏㅇ
경매: ㄱㅕㅇㅁㅏㅣ
경멸: ㄱㅕㅇㅁㅕㄹ
경박: ㄱㅕㅇㅂㅏㄱ
경배: ㄱㅕㅇㅂㅏㅣ
경상: ㄱㅕㅇㅅㅏㅇ
경선: ㄱㅕㅇㅅㅓㄴ
경솔: ㄱㅕㅇㅅㅗㄹ
경승: ㄱㅕㅇㅅㅡㅇ
경신: ㄱㅕㅇㅅㅣㄴ
경악: ㄱㅕㅇㅇㅏㄱ
